PlotID,Date,Type,Latitude,Longitude
66,8/19/2014,Biomass,46.72836,-113.8046
68,8/22/2014,Biomass,46.72944,-113.80245
69,8/19/2014,Biomass,46.73069,-113.79951
70,8/19/2014,Biomass,46.73029,-113.80087
71,7/18/2014,Biomass,46.47168,-113.90021
72,7/16/2014,Biomass,46.47109,-113.90275
73,7/15/2014,Biomass,46.47003,-113.90546
74,7/16/2014,Biomass,46.46745,-113.90321
75,7/18/2014,Biomass,46.47018,-113.89885
91,7/20/2015,Biomass,46.75959,-114.00965
92,7/20/2015,Biomass,46.76003,-114.01147
93,7/20/2015,Biomass,46.75769,-114.00597
94,7/20/2015,Biomass,46.75998,-114.00498
95,7/20/2015,Biomass,46.76011,-114.00355
101,5/7/2015,Pellet,46.86375,-113.90108
101,5/7/2015,Forage,46.86375,-113.90108
102,5/7/2015,Pellet,46.70679,-114.09685
102,5/7/2015,Forage,46.70679,-114.09685
103,5/8/2015,Pellet,46.70473,-114.03889
103,5/8/2015,Forage,46.70473,-114.03889
104,5/8/2015,Pellet,46.53763,-113.93481
104,5/8/2015,Forage,46.53763,-113.93481
105,5/19/2015,Pellet,46.71381,-113.97131
105,5/19/2015,Forage,46.71381,-113.97131
106,8/22/2014,Biomass,46.69669,-113.75302
106,5/21/2015,Pellet,46.69392,-114.10282
106,5/21/2015,Forage,46.69392,-114.10282
107,5/21/2015,Pellet,46.43626,-113.93518
107,5/21/2015,Forage,46.43626,-113.93518
108,8/22/2014,Biomass,46.69677,-113.75497
108,5/22/2015,Pellet,46.65237,-113.87122
108,5/22/2015,Forage,46.65237,-113.87122
109,8/22/2014,Biomass,46.69764,-113.75593
109,5/22/2015,Pellet,46.68716,-114.03575
109,5/22/2015,Forage,46.68716,-114.03575
110,6/2/2015,Pellet,46.72835,-114.00907
110,6/2/2015,Forage,46.72835,-114.00907
111,6/4/2015,Pellet,46.81268,-113.87463
111,6/4/2015,Forage,46.81268,-113.87463
112,6/4/2015,Pellet,46.45262,-113.86921
112,6/4/2015,Forage,46.45262,-113.86921
113,6/5/2015,Pellet,46.7068,-114.09718
113,6/5/2015,Forage,46.7068,-114.09718
114,6/17/2015,Pellet,46.74029,-113.92977
114,6/17/2015,Forage,46.74029,-113.92977
115,6/18/2015,Pellet,46.66915,-113.82777
115,6/18/2015,Forage,46.66915,-113.82777
116,6/18/2015,Pellet,46.70556,-114.09781
116,6/18/2015,Forage,46.70556,-114.09781
117,6/18/2015,Pellet,46.70924,-114.07183
117,6/18/2015,Forage,46.70924,-114.07183
118,6/29/2015,Pellet,46.70555,-114.09773
118,6/29/2015,Forage,46.70555,-114.09773
119,6/29/2015,Pellet,46.80202,-113.85594
119,6/29/2015,Forage,46.80202,-113.85594
120,6/30/2015,Pellet,46.71512,-113.95922
120,6/30/2015,Forage,46.71512,-113.95922
121,6/30/2015,Pellet,46.74287,-113.93666
121,6/30/2015,Forage,46.74287,-113.93666
122,7/22/2015,Biomass,46.71025,-113.89076
122,6/30/2015,Pellet,46.72747,-113.92379
122,6/30/2015,Forage,46.72747,-113.92379
123,7/22/2015,Biomass,46.70776,-113.89333
123,7/16/2015,Pellet,46.68902,-114.12883
123,7/16/2015,Forage,46.68902,-114.12883
124,7/22/2015,Biomass,46.7101,-113.88985
124,7/16/2015,Pellet,46.67085,-113.94889
124,7/16/2015,Forage,46.67085,-113.94889
125,7/22/2015,Biomass,46.70846,-113.89109
125,7/16/2015,Pellet,46.80575,-113.87757
125,7/16/2015,Forage,46.80575,-113.87757
126,7/16/2015,Pellet,46.47988,-113.88911
126,7/16/2015,Forage,46.47988,-113.88911
127,7/30/2015,Pellet,46.70464,-114.10303
127,7/30/2015,Forage,46.70464,-114.10303
128,7/30/2015,Pellet,46.67968,-113.87627
128,7/30/2015,Forage,46.67968,-113.87627
129,7/31/2015,Pellet,46.78322,-113.85368
129,7/31/2015,Forage,46.78322,-113.85368
130,7/31/2015,Pellet,46.47389,-113.90287
130,7/31/2015,Forage,46.47389,-113.90287
131,8/20/2015,Biomass,46.44442,-113.9044
131,7/31/2015,Pellet,46.75569,-113.95672
131,7/31/2015,Forage,46.75569,-113.95672
132,8/20/2015,Biomass,46.43963,-113.91031
132,8/13/2015,Pellet,46.80851,-113.88476
132,8/13/2015,Forage,46.80851,-113.88476
133,8/20/2015,Biomass,46.44043,-113.90961
133,8/13/2015,Pellet,46.75736,-113.85785
133,8/13/2015,Forage,46.75736,-113.85785
134,8/20/2015,Biomass,46.44423,-113.90306
134,8/13/2015,Pellet,46.70002,-113.99719
134,8/13/2015,Forage,46.70002,-113.99719
135,8/20/2015,Biomass,46.44241,-113.90115
135,8/13/2015,Pellet,46.7061,-114.10089
135,8/13/2015,Forage,46.7061,-114.10089
136,8/27/2015,Pellet,46.8152,-113.82493
136,8/27/2015,Forage,46.8152,-113.82493
137,8/27/2015,Pellet,46.79952,-113.90181
137,8/27/2015,Forage,46.79952,-113.90181
138,8/27/2015,Pellet,46.67762,-114.01554
138,8/27/2015,Forage,46.67762,-114.01554
139,8/27/2015,Pellet,46.44501,-113.93647
139,8/27/2015,Forage,46.44501,-113.93647
