"PlotVisit","GDM"
"293.2015-08-17",64.801
"294.2014-08-14",2.293
"300.2014-07-17",133.598
"301.2014-07-17",81.524
"302.2014-07-22",20.665
"303.2014-07-17",148.252
"304.2014-07-17",39.684
"305.2014-08-04",53.146
"306.2014-08-04",171.689
"307.2014-08-04",45.896
"308.2014-08-04",20.204
"309.2014-08-04",41.473
"310.2014-08-11",23.516
"311.2014-08-11",21.163
"312.2014-08-11",36.414
"313.2014-08-11",42.375
"314.2014-08-11",23.109
"315.2014-08-25",60.763
"316.2014-08-25",29.295
"318.2014-08-25",40.079
"319.2014-08-25",19.246
"322.2014-06-09",45.12
"322.2014-06-30",22.511
"322.2014-09-04",63.551
"323.2014-06-09",31.123
"323.2014-06-30",40.445
"323.2014-09-04",25.008
"325.2014-05-27",35.298
"325.2014-06-16",20.634
"325.2014-07-10",57.335
"325.2014-08-12",31.815
"325.2014-09-03",49.014
"325.2014-09-22",13.078
"325.2015-05-25",9.18
"325.2015-06-15",54.207
"325.2015-07-06",19.083
"325.2015-08-05",3.166
"325.2015-09-11",1.693
"325.2015-09-23",4.989
"326.2014-05-20",6.277
"326.2014-06-16",25.886
"326.2014-07-10",28.271
"326.2014-08-12",21.178
"326.2014-09-03",15.859
"326.2014-09-22",11.695
"326.2015-05-25",10.752
"326.2015-06-15",14.746
"326.2015-07-06",11.673
"326.2015-08-05",8.868
"326.2015-09-11",11.562
"326.2015-09-23",3.445
"327.2014-08-12",20.721
"328.2014-08-12",20.468
"329.2014-08-12",22.367
"330.2014-07-23",21.868
"331.2014-07-21",19.282
"332.2014-07-23",27.716
"333.2014-07-23",97.457
"334.2014-07-23",31.021
"335.2014-07-21",52.383
"336.2014-07-21",75.9
"337.2014-07-21",27.382
"338.2014-07-21",52.319
"339.2014-07-21",36.791
"340.2014-05-21",23.414
"340.2014-06-16",19.878
"340.2014-07-10",47.146
"340.2014-08-13",59.132
"340.2014-09-03",18.39
"340.2014-09-22",75.922
"340.2015-05-27",53.085
"340.2015-06-16",49.845
"340.2015-07-06",25.667
"340.2015-08-07",11.677
"340.2015-09-09",50.332
"340.2015-09-23",24.796
"341.2014-08-13",56.086
"342.2014-08-13",66.753
"343.2014-08-13",87.93
"344.2014-05-21",53.509
"344.2014-06-16",43.684
"344.2014-07-10",29.027
"344.2014-08-13",111.973
"344.2014-09-03",32.087
"344.2014-09-22",44.155
"344.2015-05-27",90.723
"344.2015-06-16",26.384
"344.2015-07-06",36.844
"344.2015-08-07",26.751
"344.2015-09-09",125.688
"344.2015-09-23",24.564
"345.2015-07-23",32.05
"346.2015-07-23",16.235
"347.2015-07-23",18.18
"348.2015-07-23",14.402
"349.2015-07-23",36.668
"35.2015-08-20",21.512
"359.2014-07-23",64.868
"36.2015-08-20",54
"360.2014-07-23",55.556
"361.2014-07-23",4.405
"362.2014-07-23",31.2
"363.2014-07-23",29.866
"364.2014-05-26",34.762
"364.2014-06-16",123.085
"364.2014-07-09",26.723
"364.2014-08-18",40.184
"364.2014-09-03",51.98
"364.2014-09-22",67.833
"364.2015-05-26",49.203
"364.2015-06-17",44.562
"364.2015-07-07",34.242
"364.2015-08-06",23.187
"364.2015-09-09",90.795
"364.2015-09-23",30.305
"366.2014-08-18",164.854
"367.2014-05-26",25.013
"367.2014-06-16",44.934
"367.2014-07-09",77.508
"367.2014-08-18",29.384
"367.2014-09-03",38.019
"367.2014-09-22",45.038
"367.2015-05-26",45.334
"367.2015-06-17",47.726
"367.2015-07-07",54.638
"367.2015-08-06",102.437
"367.2015-09-09",17.573
"367.2015-09-23",16.897
"368.2014-08-18",614.328
"369.2014-07-23",17.991
"37.2015-08-20",32.255
"370.2014-07-23",5.764
"371.2014-07-23",31.626
"372.2014-07-23",17.048
"373.2014-07-23",45.864
"374.2014-07-18",29.887
"375.2014-07-17",12.021
"376.2014-07-17",46.365
"377.2014-07-17",29.239
"378.2014-07-18",25.75
"379.2015-07-15",78.454
"380.2015-07-15",45.694
"381.2015-07-15",63.24
"382.2015-07-15",67.628
"383.2015-07-15",69.629
"384.2015-08-05",13.099
"385.2015-08-05",99.616
"386.2015-08-05",46.058
"387.2015-08-05",24.598
"39.2015-08-20",53.196
"40.2015-08-19",481.053
"401.2014-07-18",127.318
"402.2014-07-18",16.199
"41.2015-08-19",12.189
"42.2015-08-19",160.942
"425.2014-08-27",272.075
"426.2014-08-27",208.609
"427.2014-08-27",153.043
"428.2014-08-27",125.309
"429.2014-08-27",117.865
"43.2015-08-19",0.227
"430.2015-07-24",387.198
"431.2015-07-24",668.143
"432.2015-07-24",419.649
"444.2015-07-24",53.705
"445.2015-07-24",66.384
"446.2015-07-24",37.951
"447.2014-08-28",67.819
"448.2014-08-28",41.212
"449.2014-08-28",223.597
"450.2014-08-28",7.187
"459.2014-08-22",212.839
"460.2014-08-07",106.265
"461.2014-08-15",13.382
"462.2014-08-07",228.906
"464.2014-08-12",32.298
"465.2014-08-12",161.105
"466.2014-08-12",188.341
"467.2014-08-12",73.592
"468.2014-08-12",142.296
"473.2014-07-21",138.047
"475.2015-07-30",22.64
"476.2015-07-30",28.16
"477.2015-07-30",8.98
"481.2014-08-05",21.92
"482.2014-08-05",40.352
"483.2014-08-05",71.216
"484.2014-08-05",27.545
"485.2014-08-05",55.029
"486.2015-08-18",5.459
"488.2015-08-18",22.999
"493.2015-08-18",7.433
"495.2014-08-05",76.433
"496.2014-08-05",21.986
"497.2014-08-05",45.929
"498.2014-07-31",27.532
"499.2014-07-31",41.131
"5.2014-07-17",458.33
"505.2015-07-17",138.548
"506.2015-07-17",569.488
"507.2015-07-17",126.976
"508.2015-07-17",171.207
"509.2014-08-26",435.224
"511.2014-08-26",548.599
"512.2014-08-26",1182.826
"513.2014-07-23",60.417
"514.2014-07-23",44.354
"516.2014-07-23",31.428
"522.2015-08-28",8.431
"523.2015-08-28",13.46
"524.2015-08-28",38.505
"525.2015-08-28",23.524
"527.2014-08-06",30.368
"528.2014-08-06",175.095
"529.2014-08-06",165.304
"530.2014-08-06",92.087
"5325.2015-08-05",3.166
"5326.2015-08-05",8.868
"5340.2015-08-07",11.677
"5344.2015-08-07",26.751
"5364.2015-08-06",23.187
"5367.2015-08-06",102.437
"538.2015-08-21",223.527
"539.2015-08-21",384.672
"540.2015-08-21",590.622
"541.2015-08-21",490.262
"548.2015-07-27",131.69
"550.2015-07-27",23.575
"551.2015-07-28",315.256
"552.2015-07-28",266.379
"554.2015-07-28",236.122
"567.2014-08-19",76.778
"569.2014-08-19",43.771
"570.2014-08-19",14.911
"571.2014-08-19",16.271
"573.2014-08-25",185.903
"575.2014-08-25",188.411
"577.2014-08-20",23.878
"580.2014-08-20",5.735
"581.2014-08-20",117.895
"592.2014-08-21",0.363
"593.2014-08-21",13.776
"594.2014-08-21",35.635
"595.2014-08-21",0.349
"605.2014-08-18",8.724
"606.2014-08-18",20.97
"609.2014-08-18",20.347
"613.2015-08-31",4.466
"614.2015-08-31",6.587
"616.2014-08-14",6.031
"617.2014-08-13",2.385
"618.2014-08-13",21.776
"619.2014-08-13",5.316
"620.2015-07-29",149.978
"621.2015-07-29",164.356
"623.2015-07-29",72.936
"628.2015-07-20",34.977
"629.2015-07-20",17.884
"630.2015-07-20",13.068
"631.2015-07-20",21.869
"632.2014-08-25",132.172
"633.2014-08-25",31.782
"634.2014-08-25",52.652
"635.2014-08-25",2.222
"646.2014-08-15",87.408
"648.2014-08-15",26.056
